movieID,title,pred. rating,genres sim.,titles sim.,tags sim.,sc. rating,sc. genres,sc. titles,sc. tags,ratio,artist names sim.,sc. artist names,final ratio
1084,Bonnie and Clyde,2.5,2.9000000000000004,4.903666937708705,0.0,1.0,0.7532467532467533,0.9345939118884257,0.01546482041070806,0.7963045745286147,5.426263207927722,0.952519184611176,0.8744118795698954
5415,Divine Secrets of the Ya-Ya Sisterhood,2.444324016571045,3.1166666666666667,5.137015925510875,0.0,0.977729606628418,0.8095238095238095,0.9766625400959513,0.01546482041070806,0.8141141025115569,5.2962300936502515,0.9309842195504561,0.8725491610310065
1273,Down by Law,2.452745199203491,3.1166666666666667,4.686875407234899,0.0,0.9810980796813965,0.8095238095238095,0.8955102956278961,0.01546482041070806,0.8073462672859428,5.332711382467284,0.9370259365731557,0.8721861019295493
628,Primal Fear,2.5,3.3666666666666667,4.300096578207571,1.019485045478712,1.0,0.8744588744588745,0.8257810248470545,1.0,0.9323616522682553,4.5433664353738745,0.8063014211221123,0.8693315366951838
1900,Bacheha-Ye aseman,2.3946449756622314,3.1166666666666667,4.611400728014605,0.0,0.9578579902648926,0.8095238095238095,0.8819035675717511,0.01546482041070806,0.7966895587137267,5.211115367825062,0.9168882513274156,0.8567889050205711
861,Ging chat goo si 3: Chiu kup ging chat,2.4286720752716064,3.25,4.903363235609685,0.0,0.9714688301086426,0.8441558441558441,0.9345391598588162,0.01546482041070806,0.8212502677327471,5.051515796893904,0.8904567442239678,0.8558535059783574
1243,Rosencrantz & Guildenstern Are Dead,2.428071975708008,3.1166666666666667,4.823764724243729,0.0,0.9712287902832031,0.8095238095238095,0.9201889789899544,0.01546482041070806,0.8058664198628713,5.134687620957913,0.9042309457818329,0.8550486828223521
46335,The Fast and the Furious: Tokyo Drift,2.421599864959717,3.2000000000000006,4.788255400890504,0.0,0.9686399459838867,0.8311688311688313,0.9137872862458915,0.01546482041070806,0.8128487215267473,5.065157673474061,0.8927159943938088,0.852782357960278
48774,Children of Men,2.450707197189331,2.0964285714285715,4.9335416025726735,0.40168685740042154,0.9802828788757324,0.5445269016697588,0.9399797769861232,0.4033810964201145,0.7442599995588203,5.4648141487924295,0.958903659590433,0.8515818295746267
4963,Ocean's Eleven,2.5,3.3,4.687493803980519,0.4789150736362333,1.0,0.8571428571428571,0.8956217814458604,0.4779617840704987,0.8802154994087787,4.63034738957302,0.8207064580239412,0.85046097871636
33880,Me and You and Everyone We Know,2.4029555320739746,3.1166666666666667,4.727915608694559,0.0,0.9611822128295898,0.8095238095238095,0.9029091062806859,0.01546482041070806,0.8001198016104991,5.101592194923545,0.8987499662076688,0.849434883909084
2290,Stardust Memories,2.421945095062256,3.1166666666666667,4.693383886597478,0.0,0.9687780380249024,0.8095238095238095,0.8966836574713717,0.01546482041070806,0.8025355868076928,5.054104090694692,0.8908853951632041,0.8467104909854484
3925,Stranger Than Paradise,2.405052661895752,3.1166666666666667,4.51244126330109,0.0,0.9620210647583007,0.8095238095238095,0.8640629548146133,0.01546482041070806,0.7965707272353763,5.083293146523957,0.8957194353300597,0.846145081282718
55805,Before the Devil Knows You're Dead,2.4274582862854004,3.3666666666666667,4.676077531017637,0.0,0.9709833145141602,0.8744588744588745,0.8935636326305835,0.01546482041070806,0.829079720893343,4.879515934144137,0.8619716075313166,0.8455256642123299
