movieID,title,pred. rating,genres sim.,titles sim.,tags sim.,sc. rating,sc. genres,sc. titles,sc. tags,ratio
296,Pulp Fiction,4.05785608291626,3.5500000000000003,3.614708462073092,26.872860603655813,0.9869227766424028,0.8352941176470589,0.7324283240757874,1.0,0.9021295901233635
2959,Fight Club,4.025493621826172,3.5999999999999996,3.082634322428695,23.4057107508937,0.9790518099778932,0.8470588235294116,0.6364061280334731,0.8711281920839291,0.8811976854146624
53322,Ocean's Thirteen,4.0067243576049805,4.25,3.9999095664103432,1.744742448077881,0.9744868835777927,1.0,0.8019446812907945,0.0660034455510573,0.8765895661153024
6705,Party Monster,4.023015022277832,4.25,4.0277793543218,1.000803781155003,0.978448982697071,1.0,0.8069742778058219,0.038351707075246766,0.8759121915669353
111,Taxi Driver,4.052628517150879,3.866666666666667,4.211071510940146,7.512396722864726,0.9856513654304648,0.9098039215686275,0.8400525916806292,0.2803835748767319,0.8702257314553731
1089,Reservoir Dogs,4.047107219696045,3.866666666666667,3.1288543870355316,12.220582266757301,0.9843085148947511,0.9098039215686275,0.6447473567722579,0.45538390910294796,0.8676581011728721
608,Fargo,4.013350009918213,4.25,1.1512468259742386,12.417991641896968,0.9760983274152348,1.0,0.2878530693522693,0.462721493041976,0.8654967872055186
1729,Jackie Brown,4.045670032501221,3.866666666666667,4.049318107955246,6.88155026052632,0.9839589724891339,0.9098039215686275,0.8108613271280839,0.2569354034473253,0.8642848306806455
3266,C'est arrivΘ prΦs de chez vous,3.986342191696167,4.25,3.2285071535817114,1.5069709352733227,0.9695296787480305,1.0,0.6627314623178713,0.05716562600839994,0.8598015803318394
628,Primal Fear,4.042611598968506,3.866666666666667,4.116827157291097,4.344926452675739,0.9832151221276115,0.9098039215686275,0.8230445299694957,0.1626506710293632,0.8557771375783815
4242,Beautiful Creatures,3.800886869430542,4.25,4.2316559385586965,0.0,0.924424559726174,1.0,0.8437674159822355,0.001152451743396473,0.854261810663033
4963,Ocean's Eleven,4.002026557922363,3.6999999999999997,4.572922176541491,6.916775685998948,0.9733443182890932,0.8705882352941176,0.9053549489303838,0.2582447106472012,0.8539329873910427
2268,A Few Good Men,3.991211414337158,3.866666666666667,4.074944032508563,5.286659825862177,0.9707139363044206,0.9098039215686275,0.8154859787844653,0.1976543159628962,0.8535211726239555
55820,No Country for Old Men,4.048793315887451,3.866666666666667,3.444190366079496,6.8325671389352785,0.9847185951688925,0.9098039215686275,0.7016553155375369,0.2551147312223329,0.8534860113709951
1227,Once Upon a Time in America,4.06192684173584,3.866666666666667,3.9854130893111015,3.7113141976988544,0.9879128375305096,0.9098039215686275,0.7993285354151903,0.1390996968043527,0.8529295268616092
48997,Perfume: The Story of a Murderer,4.000298500061035,3.866666666666667,4.111782015541107,4.586050350749003,0.9729240323972694,0.9098039215686275,0.8221340448433014,0.17161309665158336,0.8524658957358473
44665,Lucky Number Slevin,4.0417399406433105,3.866666666666667,3.680355607103272,5.284131120008844,0.9830031236148483,0.9098039215686275,0.7442755133301253,0.19756032553593286,0.8513064019599962
3893,Nurse Betty,4.059901237487793,3.9857142857142858,3.6330719122517414,1.823543140605567,0.9874201845314845,0.9378151260504202,0.7357423336877673,0.06893241837955826,0.8505615994394945
8645,Maria Full of Grace,4.0365891456604,3.866666666666667,4.365279418450636,1.835862651736289,0.9817503840443518,0.9098039215686275,0.8678821380219409,0.06939032696138477,0.8503489687435244
1351,Blood and Wine,4.01511812210083,3.866666666666667,4.799073714371194,0.0,0.9765283550330279,0.9098039215686275,0.9461679967422317,0.001152451743396473,0.8492649554892251
1912,Out of Sight,4.019237041473389,3.9857142857142858,3.8020712503330025,1.359766036625525,0.9775301291868836,0.9378151260504202,0.7662412554792036,0.05169411129791498,0.8479316387726334
2542,"Lock, Stock and Two Smoking Barrels",4.072665214538574,3.6999999999999997,4.173048909765434,4.742120344419202,0.9905245478737408,0.8705882352941176,0.8331907403106734,0.17741412144135563,0.8455055994423463
6989,Gorky Park,4.043422222137451,3.866666666666667,4.096765047379089,1.3480703300971124,0.9834122761055641,0.9098039215686275,0.8194239671428926,0.05125938914595157,0.8443548146985611
26283,Charley Varrick,4.012264251708984,3.866666666666667,4.264755798147422,1.1892878576057628,0.9758342570577065,0.9098039215686275,0.8497408715020356,0.04535754320207279,0.8437651129209446
43853,The Business,3.9440395832061768,4.25,2.8543787647126106,0.0,0.959241140422109,1.0,0.5952133725926431,0.001152451743396473,0.8433330386024477
7442,Young Adam,3.988618850708008,3.866666666666667,4.49293666737173,0.4975534909515378,0.9700833914937568,0.9098039215686275,0.8909201480825618,0.019646206163268246,0.8430115606495368
4776,Training Day,3.988436460494995,3.866666666666667,3.7972544188154855,3.4273674876976514,0.9700390318487175,0.9098039215686275,0.7653719729754779,0.12854557384352258,0.8413289360488382
30846,The Assassination of Richard Nixon,4.033191204071045,3.866666666666667,4.255375024871315,0.0,0.9809239609579457,0.9098039215686275,0.8480479449276508,0.001152451743396473,0.8412111926777341
507,A Perfect World,3.997122049331665,3.866666666666667,4.18611733458232,1.2089983294461142,0.9721514787360157,0.9098039215686275,0.8355491688758542,0.0460901692057978,0.8409460939300226
56633,Butterfly on a Wheel,3.9860057830810547,3.866666666666667,4.482036582578633,0.0,0.9694478598471802,0.9098039215686275,0.8889530348536044,0.001152451743396473,0.8407112612260232
57147,Cassandra's Dream,4.026054382324219,3.866666666666667,4.249422594197725,0.0,0.9791881941414652,0.9098039215686275,0.8469737234564669,0.001152451743396473,0.8404094638040236
8456,Indagine su un cittadino al di sopra di ogni sospetto,3.959369659423828,3.866666666666667,4.608862256706485,0.0,0.9629696120775135,0.9098039215686275,0.9118409725241747,0.001152451743396473,0.8404087558852137
